customer_id,age,tenure_months,monthly_charges,support_calls,contract,internet_service,churn
230,70,6,125.91,3,One year,DSL,0
231,21,27,139.31,5,One year,Fiber optic,0
232,18,59,74.77,1,One year,Fiber optic,1
233,66,30,110.57,6,Month-to-month,No,1
234,20,66,44.6,5,One year,No,0
235,52,61,43.71,1,Month-to-month,DSL,1
236,32,1,130.51,0,One year,Fiber optic,0
237,35,59,139.52,10,Two year,Fiber optic,0
238,22,69,42.12,7,Two year,Fiber optic,0
239,42,57,50.53,7,Two year,Fiber optic,0
240,27,18,37.32,5,Month-to-month,DSL,1
241,27,12,144.67,6,Month-to-month,Fiber optic,1
242,20,63,128.08,1,Month-to-month,No,0
243,28,32,107.46,5,Month-to-month,No,0
244,52,54,35.57,7,One year,No,0
245,40,60,132.1,8,One year,No,0
246,39,64,130.24,5,One year,No,0
247,52,9,48.33,4,Month-to-month,DSL,1
248,22,56,37.78,7,One year,No,0
249,22,54,83.56,3,Month-to-month,No,1
250,75,21,50.58,10,Two year,Fiber optic,0
251,73,33,40.13,4,One year,Fiber optic,0
252,21,51,107.07,6,Month-to-month,No,0
253,23,4,72.45,6,Two year,DSL,0
254,19,50,86.81,7,Month-to-month,No,1
255,56,15,82.77,10,Two year,Fiber optic,0
256,51,59,79.2,0,Month-to-month,No,1
257,67,18,99.26,7,One year,DSL,0
258,37,63,55.3,7,One year,DSL,0
259,21,54,61.83,4,One year,DSL,0
260,69,31,64.88,8,Month-to-month,No,1
261,24,41,45.61,10,One year,DSL,0
262,35,9,45.04,5,One year,No,0
263,37,6,75.2,8,Two year,No,0
264,43,3,100.09,0,Month-to-month,Fiber optic,1
265,50,5,32.08,0,One year,Fiber optic,0
266,20,8,30.91,5,Two year,Fiber optic,0
267,54,69,28.79,6,One year,DSL,0
268,52,69,42.59,9,Month-to-month,No,1
269,67,17,146.95,6,Two year,DSL,0
270,38,40,32.05,9,One year,No,0
271,75,47,141.49,9,Two year,DSL,0
272,54,67,87.01,8,Two year,Fiber optic,1
273,65,64,111.07,10,Two year,DSL,0
274,40,29,69.83,8,Month-to-month,No,1
275,47,8,104.04,7,Two year,No,0
276,55,33,54.82,8,One year,No,0
277,67,62,82.59,6,Month-to-month,DSL,1
278,29,32,75.02,6,Two year,No,0
279,62,57,64.63,10,One year,Fiber optic,1
280,25,52,134.52,1,One year,No,0
281,30,45,41.83,0,One year,No,1
282,68,59,61.54,5,Two year,Fiber optic,0
283,18,42,55.49,4,One year,Fiber optic,0
284,43,46,80.43,9,Two year,No,0
285,34,51,135.63,0,One year,Fiber optic,1
286,53,58,87.78,6,One year,No,0
287,35,47,111.48,1,Month-to-month,Fiber optic,0
288,52,64,44.75,2,Two year,No,0
289,27,42,76.95,5,Month-to-month,DSL,0
290,20,57,45.74,4,Two year,No,0
291,23,24,101.95,6,One year,Fiber optic,0
292,29,47,119.28,4,Month-to-month,No,1
293,45,38,60.06,9,Month-to-month,Fiber optic,1
294,29,62,26.48,8,Two year,No,0
295,51,20,127.38,10,Two year,Fiber optic,0
296,74,4,71.07,7,Month-to-month,No,1
297,41,17,58.24,1,Month-to-month,No,0
298,28,35,137.33,5,Month-to-month,DSL,1
299,41,54,119.64,8,Two year,No,0
300,74,34,146.28,8,Month-to-month,No,1
301,32,71,130.07,7,Month-to-month,No,0
302,29,45,97.33,9,One year,Fiber optic,0
303,19,50,56.74,10,Two year,No,0
304,68,44,121.82,9,Two year,No,0
305,55,50,63.92,0,Month-to-month,No,0
306,38,42,133.72,5,One year,No,0
307,25,10,122.97,9,One year,No,0
308,59,71,130.82,9,Two year,No,0
309,29,24,87.42,6,Two year,No,0
310,34,14,79.82,2,One year,DSL,0
311,41,51,134.7,4,One year,No,0
312,18,56,104.13,9,Two year,DSL,0
313,38,58,146.31,6,Month-to-month,Fiber optic,1
314,45,69,66.67,9,Two year,No,0
315,73,71,110.42,4,Month-to-month,Fiber optic,0
316,21,10,107.34,3,Month-to-month,DSL,1
317,53,16,142.22,9,One year,Fiber optic,0
318,67,60,42.44,0,Month-to-month,DSL,1
319,19,52,87.84,8,Month-to-month,No,1
320,34,32,128.25,5,Month-to-month,No,1
321,47,53,22.46,1,Month-to-month,No,0
322,66,41,88.05,10,Two year,DSL,0
323,39,51,80.35,4,One year,No,0
324,23,18,53.83,0,Month-to-month,No,1
325,60,47,77.4,8,One year,No,0
326,54,10,128.54,6,Month-to-month,No,1
327,44,9,83.97,10,Two year,Fiber optic,0
328,28,65,89.61,2,One year,DSL,0
329,34,60,147.77,4,Month-to-month,Fiber optic,1
330,64,30,132.09,8,Month-to-month,No,0
331,32,64,100.86,6,Month-to-month,No,1
332,28,12,74.72,6,Month-to-month,DSL,1
333,47,30,139.06,8,Two year,Fiber optic,0
334,29,14,139.99,7,Month-to-month,DSL,0
335,52,35,114.87,1,Month-to-month,No,1
336,55,46,85.37,2,Two year,DSL,0
337,31,18,115.29,2,Two year,Fiber optic,0
338,43,54,81.25,10,Two year,Fiber optic,0
339,49,47,107.84,0,Month-to-month,No,1
340,20,72,100.96,3,One year,Fiber optic,0
341,45,3,35.36,5,Month-to-month,Fiber optic,1
342,21,35,141.18,0,Month-to-month,Fiber optic,1
343,30,26,121.95,3,Month-to-month,DSL,1
344,73,65,116.41,4,One year,DSL,0
345,26,2,34.21,6,One year,Fiber optic,0
346,54,71,28.68,3,Month-to-month,Fiber optic,0
347,51,46,94.32,5,Two year,No,0
348,45,57,44.4,2,Month-to-month,No,0
349,70,14,124.95,7,One year,No,0
350,22,1,74.04,10,One year,No,0
351,62,28,92.5,0,Two year,DSL,0
352,70,44,93.93,1,One year,Fiber optic,1
353,18,48,71.77,0,Month-to-month,No,1
354,71,22,76.35,10,One year,DSL,0
355,38,47,148.01,3,Month-to-month,Fiber optic,1
356,56,23,71.53,9,Two year,Fiber optic,0
357,34,50,146.55,10,One year,Fiber optic,0
358,24,15,51.52,10,Month-to-month,DSL,1
359,28,11,77.4,5,One year,No,0
360,54,61,78.5,2,Two year,Fiber optic,0
361,19,57,86.8,10,Two year,Fiber optic,0
362,36,19,55.25,8,Two year,No,1
363,56,1,41.35,10,Two year,DSL,0
364,71,10,33.35,3,Month-to-month,No,1
365,52,52,98.71,10,Month-to-month,Fiber optic,1
366,75,32,143.75,6,One year,DSL,0
367,39,35,43.04,2,Two year,Fiber optic,0
368,40,13,141.75,2,One year,Fiber optic,0
369,25,65,75.72,7,One year,Fiber optic,0
370,42,47,88.9,3,One year,DSL,0
371,19,31,116.03,1,One year,No,0
372,56,14,44.62,3,Month-to-month,No,0
373,70,54,28.66,2,Two year,Fiber optic,0
374,55,72,126.72,3,One year,Fiber optic,0
375,39,31,120.26,10,Month-to-month,Fiber optic,1
376,18,36,31.36,0,Two year,Fiber optic,0
377,62,10,89.64,5,One year,DSL,0
378,34,71,41.08,5,One year,No,0
379,47,9,145.27,2,One year,Fiber optic,0
380,60,30,83.74,2,Two year,No,0
381,18,20,40.6,4,Two year,No,0
382,54,34,22.99,8,Two year,Fiber optic,0
383,18,10,48.74,5,One year,DSL,0
384,58,25,27.28,0,Month-to-month,DSL,0
385,44,45,120.29,5,Two year,Fiber optic,0
386,25,18,104.9,6,One year,No,0
387,62,21,116.66,2,Month-to-month,Fiber optic,1
388,48,30,36.48,6,One year,DSL,1
389,51,24,60.21,1,Month-to-month,No,1
390,59,21,127.13,8,Month-to-month,Fiber optic,1
391,20,63,74.66,0,One year,DSL,0
392,59,66,131.48,5,One year,DSL,0
393,32,11,46.34,2,Two year,No,0
394,28,52,25.4,1,Two year,Fiber optic,0
395,35,12,54.22,8,Two year,No,0
396,69,26,40.9,2,Two year,No,0
397,66,64,82.6,10,Month-to-month,Fiber optic,0
398,59,1,37.61,3,One year,Fiber optic,0
399,28,11,88.67,6,One year,No,0
400,44,9,113.39,9,One year,DSL,0
401,43,22,71.72,8,Month-to-month,Fiber optic,1
402,32,53,86.03,0,Two year,DSL,0
403,50,27,62.76,5,One year,DSL,0
404,23,15,77.38,4,One year,Fiber optic,0
405,31,56,114.84,5,Month-to-month,DSL,1
406,41,69,146.25,8,One year,DSL,0
407,31,8,149.66,4,Two year,DSL,0
408,49,15,77.66,1,Two year,Fiber optic,0
409,28,18,25.5,2,Month-to-month,DSL,0
410,66,69,148.33,9,One year,DSL,0
411,60,56,101.93,4,One year,DSL,0
412,74,43,102.3,1,One year,No,0
413,32,55,100.35,9,Two year,No,0
414,29,45,60.26,6,Two year,DSL,0
415,73,19,29.62,0,Two year,Fiber optic,0
416,75,64,140.22,5,One year,No,0
417,64,3,125.97,5,One year,Fiber optic,0
418,49,25,113.64,10,Two year,DSL,0
419,36,29,138.04,1,Month-to-month,No,1
420,38,44,139.5,10,One year,DSL,0
421,73,5,142.19,6,Month-to-month,DSL,1
422,60,23,106.85,3,Month-to-month,DSL,0
423,71,6,81.89,0,Two year,Fiber optic,0
424,63,64,79.68,7,One year,Fiber optic,1
425,27,69,148.93,8,Month-to-month,No,0
426,36,4,21.21,10,One year,DSL,0
427,60,71,110.47,0,Month-to-month,DSL,0
428,27,5,77.64,4,One year,No,0
429,35,39,127.5,4,Month-to-month,DSL,1
430,57,53,53.61,4,Month-to-month,DSL,0
431,19,4,50.13,8,One year,DSL,0
432,60,6,117.96,8,Two year,No,1
433,20,35,93.86,8,Two year,No,0
434,66,39,142.3,2,Two year,DSL,0
435,26,42,67.21,8,Two year,DSL,0
436,46,64,127.89,6,Two year,DSL,0
437,21,9,99.81,4,One year,No,0
438,35,56,33.24,1,Month-to-month,No,1
439,34,40,118.77,8,One year,No,0
440,44,63,54.95,2,One year,No,0
441,61,54,112.58,9,One year,Fiber optic,0
442,44,68,108.19,3,One year,Fiber optic,0
443,56,64,22.48,6,Two year,DSL,0
444,32,25,139.98,10,One year,Fiber optic,0
445,74,40,41.83,7,Month-to-month,Fiber optic,1
446,71,16,33.48,3,One year,No,0
447,45,4,136.55,10,Month-to-month,DSL,1
448,40,22,40.65,2,Month-to-month,No,1
449,47,69,35.97,8,Month-to-month,Fiber optic,0
450,52,65,139.13,4,One year,No,0
451,60,13,51.59,7,One year,DSL,0
452,59,67,28.26,2,Two year,Fiber optic,0
453,59,44,132.82,1,One year,Fiber optic,1
454,27,71,133.33,4,Month-to-month,Fiber optic,1
455,32,42,142.5,1,Month-to-month,DSL,0
456,49,5,72.13,4,One year,DSL,0
457,46,53,99.01,10,Two year,No,0
458,45,25,98.2,3,Month-to-month,DSL,0
459,44,25,71.61,9,Two year,DSL,0
460,29,43,106.26,1,One year,Fiber optic,1
461,74,17,106.06,7,Month-to-month,DSL,0
462,57,7,91.85,1,One year,Fiber optic,0
463,43,50,26.58,8,Two year,DSL,1
464,20,15,92.88,9,Month-to-month,Fiber optic,1
465,28,62,70.11,1,Month-to-month,Fiber optic,1
466,27,67,37.93,8,Two year,No,0
467,50,32,82.35,0,One year,Fiber optic,0
468,31,43,30.73,7,One year,Fiber optic,0
469,44,37,117.05,8,One year,No,0
470,58,7,60.54,7,One year,No,0
471,30,15,113.98,1,Two year,No,0
472,26,12,136.7,9,Two year,No,0
473,74,1,41.51,8,One year,Fiber optic,0
474,29,72,125.05,5,Two year,DSL,0
475,27,9,70.53,1,One year,No,1
476,66,53,22.38,9,One year,Fiber optic,0
477,60,70,51.34,4,Month-to-month,DSL,1
478,45,53,112.36,8,Month-to-month,DSL,1
479,51,48,47.1,8,Two year,No,0
480,33,14,36.72,8,Two year,Fiber optic,0
481,26,27,97.31,5,Month-to-month,No,0
482,31,42,87.78,9,Month-to-month,Fiber optic,1
483,31,40,147.84,2,Two year,DSL,0
484,32,2,128.95,5,One year,DSL,0
485,72,58,85.34,3,Two year,Fiber optic,1
486,25,20,135.7,7,One year,DSL,0
487,65,18,112.54,6,Month-to-month,No,0
488,40,38,31.46,7,Two year,Fiber optic,0
489,28,68,34.11,4,Month-to-month,Fiber optic,0
490,55,16,90.96,1,Month-to-month,Fiber optic,0
491,19,40,138.56,10,One year,No,0
492,19,49,88.54,10,One year,Fiber optic,0
493,62,4,24.66,6,Month-to-month,DSL,0
494,75,69,78.32,10,Month-to-month,No,1
495,57,1,79.88,9,One year,No,0
496,39,35,67.41,4,Month-to-month,Fiber optic,1
497,29,12,46.3,10,Month-to-month,Fiber optic,0
498,38,47,21.51,4,Month-to-month,No,1
499,18,30,122.16,3,Month-to-month,No,0
500,75,30,145.81,3,One year,No,0
501,43,41,81.42,4,Month-to-month,DSL,1
502,74,14,131.63,8,Two year,Fiber optic,1
503,40,16,79.21,3,One year,No,0
504,19,8,45.98,7,One year,No,0
505,41,15,74.25,6,Two year,No,0
506,18,38,53.4,9,Two year,No,0
507,37,34,41.55,10,One year,No,0
508,45,40,73.35,7,Two year,DSL,0
509,40,33,127.8,4,One year,No,0
510,49,61,25.4,4,Month-to-month,Fiber optic,0
511,75,67,31.88,5,Two year,No,0
512,52,47,74.62,8,Two year,No,0
513,32,47,117.31,4,One year,DSL,0
514,48,58,87.27,7,One year,Fiber optic,0
515,71,33,31.14,3,Month-to-month,Fiber optic,1
516,59,37,82.65,8,Month-to-month,No,1
517,39,36,68.48,1,Two year,DSL,0
518,37,11,54.87,2,One year,No,0
519,44,48,49.37,5,One year,DSL,0
520,33,52,120.04,6,One year,DSL,0
521,38,11,114.28,3,Two year,No,0
522,23,37,59.57,9,One year,DSL,0
523,66,59,49.37,3,Month-to-month,No,1
524,63,40,141.07,9,Two year,No,0
525,24,61,111.62,2,Month-to-month,Fiber optic,1
526,33,58,72.56,7,Month-to-month,DSL,1
527,71,46,91.16,6,One year,No,0
528,38,18,148.63,7,Two year,DSL,0
529,29,13,26.11,5,Two year,Fiber optic,0
530,20,40,100.16,5,Two year,No,0
531,74,38,82.15,9,Two year,DSL,0
532,68,68,145.05,0,One year,Fiber optic,0
533,39,8,127.49,1,Month-to-month,Fiber optic,1
534,20,68,37.88,6,Two year,No,0
535,53,70,54.77,9,Month-to-month,No,1
536,18,20,48.76,10,One year,No,0
537,73,53,136.92,5,One year,DSL,0
538,40,65,48.38,8,One year,No,0
539,67,25,35.87,1,One year,DSL,0
540,58,68,62.97,7,Month-to-month,DSL,0
541,53,63,44.14,2,Month-to-month,No,0
542,21,51,37.94,1,Month-to-month,No,0
543,31,16,77.22,2,Two year,Fiber optic,0
544,52,35,145.32,3,One year,No,0
545,25,5,138.22,9,Month-to-month,DSL,0
546,37,8,74.73,9,One year,Fiber optic,0
547,61,6,78.04,9,Month-to-month,No,1
548,35,67,104.31,5,One year,No,0
549,42,42,139.1,7,Month-to-month,No,1
550,67,12,88.13,6,Month-to-month,Fiber optic,1
551,42,2,20.21,6,Month-to-month,No,1
552,33,27,22.83,1,Two year,No,0
553,44,50,58.33,7,Month-to-month,Fiber optic,1
554,28,8,33.69,6,Two year,Fiber optic,0
555,54,66,81.37,6,One year,Fiber optic,0
556,54,18,137.99,9,One year,Fiber optic,0
557,26,62,114.54,7,One year,DSL,0
558,45,4,128.63,5,One year,Fiber optic,0
559,37,33,117.06,5,One year,Fiber optic,1
560,45,40,29.6,3,One year,No,0
561,28,63,136.08,9,Month-to-month,Fiber optic,1
562,20,23,121.13,1,Two year,DSL,0
563,58,39,83.77,0,Month-to-month,No,1
564,66,42,101.43,10,Month-to-month,Fiber optic,1
565,48,15,66.49,1,Two year,No,0
566,35,56,110.0,3,Two year,Fiber optic,0
567,51,13,121.59,10,One year,DSL,0
568,31,45,87.8,8,Month-to-month,Fiber optic,1
569,41,53,82.98,7,Month-to-month,No,0
570,21,66,53.53,7,Two year,Fiber optic,0
571,32,41,105.66,3,Month-to-month,Fiber optic,1
572,38,21,102.52,10,Month-to-month,No,0
573,54,14,99.61,4,One year,DSL,0
574,66,11,34.62,10,One year,Fiber optic,0
575,75,69,130.21,4,One year,Fiber optic,0
576,57,45,57.19,6,Two year,DSL,0
577,50,17,101.36,5,One year,Fiber optic,0
578,61,37,29.8,6,Two year,No,0
579,30,5,38.5,5,Two year,DSL,1
580,39,54,51.89,2,Two year,Fiber optic,0
581,39,25,85.71,0,Month-to-month,Fiber optic,1
582,36,55,70.25,10,Month-to-month,Fiber optic,0
583,61,50,118.54,1,Two year,Fiber optic,0
584,41,45,70.41,1,One year,No,0
585,28,28,25.48,4,Two year,No,0
586,31,62,123.41,7,Month-to-month,No,1
587,60,53,50.62,4,Two year,No,0
588,35,38,132.92,4,One year,Fiber optic,1
589,52,46,88.99,7,Month-to-month,No,0
590,37,37,96.17,9,One year,No,0
591,57,72,55.31,1,Two year,Fiber optic,0
592,72,35,88.06,7,Month-to-month,DSL,0
593,24,68,121.49,0,Month-to-month,Fiber optic,1
594,50,13,67.01,6,Two year,DSL,0
595,25,65,66.89,3,Month-to-month,DSL,0
596,20,26,127.78,10,Two year,No,0
597,72,38,75.85,7,One year,DSL,0
598,75,40,85.62,3,Two year,No,0
599,36,45,96.15,4,Two year,No,0
600,47,64,44.78,1,Month-to-month,Fiber optic,0
601,29,1,44.37,7,One year,Fiber optic,0
602,46,34,52.41,6,One year,No,0
603,31,24,50.21,3,Two year,Fiber optic,0
604,69,5,91.37,9,One year,No,0
605,35,48,140.14,3,Month-to-month,No,1
606,58,56,23.05,7,Month-to-month,No,1
607,63,17,73.91,8,One year,DSL,0
